Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,2u2,
"C10, C12",0805,2,10uF,
C11,0805,1,4.7uF,
"C13, C16, C20, C37, C8, C9",0603,6,100nF,
C14,CP_Elec_6.3x5.4,1,220uF,
C15,CP_Elec_6.3x5.4,1,330uF,
C17,1206,1,22uF,
"C18, C19",0603,2,100n,
"C5, C6",0603,2,0.1uF,
"D3, D4, D9",D_SOD-523,3,LESD5D5.0CT1G,
D5,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
"D6, D8",D_SMA,2,SS14,
J1,BarrelJack_CUI_PJ-102AH_Horizontal,1,Barrel_Jack,
J3,MOLEX_105017-0001,1,105017-0001,
K1,MICROSD-HYC77-TF09-200,1,HYC77-TF09-200,
L1,L_Bourns_SRN8040TA,1,33uH,
"LED1, LED3",0805,2,0805G (Green),
LED2,0805,1,FC-2012HRK-620D,
"Q2, Q9",SOT-23,2,SS8050-G_C164885,
"R1, R15",0805,2,5.1kΩ,
"R10, R3, R39, R9",0805,4,10k,
R11,0805,1,47.5kΩ,
R12,0805,1,22.1kΩ,
"R13, R17, R18, R22",0805,4,10kΩ,
R16,0805,1,560Ω,
"R2, R25",0805,2,2.2k,
R23,0805,1,1kΩ,
R24,0805,1,22Ω,
"SW1, SW2",SW_SPST_PTS645Sx43SMTR92,2,PTS645SH50SMTR92LFS,
U1,PQFN50P250X300X86-14N,1,ISM330DHCX,
U10,PSON65P250X250X100-8N,1,BME280,
U5,Aosong_DHT11_5.5x12.0_P2.54mm,1,DHT11,
U6,TO-263-5_TabPin3,1,LM2596S-5,
U7,SOT-223-3_TabPin2,1,AMS1117-3.3_C347222,
U8,ESP32-WROOM-32E,1,ESP32-WROOM-32E(8MB),
U9,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A02-GQFN28R,
